slatestarcodex.com/ astralcodexten.substack.com/
samzdat.com/%20 samzdat.com
the-diplomat.com thediplomat.com
redstate.org redstate.com
nelslindahl.net nelslindahl.com
aei.org/publication/blog/carpe-diem/ aei.org/blog/carpe-diem/
amlibpub.com amlibpub.blogspot.com/
cafehayek.typepad.com/hayek/ cafehayek.com
cafehayek.typepad.com cafehayek.com
catalog.hathitrust.org/Record/000062148 catalog.hathitrust.org
globalguerrillas.typepad.com/globalguerrillas/ globalguerrillas.typepad.com/
stat.columbia.edu/~cook/movabletype/mlm/ statmodeling.stat.columbia.edu/
stat.columbia.edu/~gelman/blog/ statmodeling.stat.columbia.edu/


